project_id,prize_name
1,Garverick Memorial Hack
1,Rockwell Diversity in Engineering/IOT Technologies
1,MLH: Best Domain Registered with Domain.com
1,Best Hardware Hack
1,Maker Track
1,Most Aesthetic Hack
2,Garverick Memorial Hack
2,Maker Track
2,Most Aesthetic Hack
2,JPMorgan Chase Best Hack for Social Good
3,Fintech Track
3,Garverick Memorial Hack
3,Rockwell Diversity in Engineering/IOT Technologies
3,Most Aesthetic Hack
3,JPMorgan Chase Best Hack for Social Good
4,Fintech Track
4,MLH: Best Domain Registered with Domain.com
5,Maker Track
5,Health Track
5,JPMorgan Chase Best Hack for Social Good
6,Garverick Memorial Hack
6,Civic Track
6,Most Aesthetic Hack
6,JPMorgan Chase Best Hack for Social Good
7,MLH: Best Domain Registered with Domain.com
7,Best Hardware Hack
7,Maker Track
7,Civic Track
8,Best Game Hack
8,Most Aesthetic Hack
9,Health Track
10,Garverick Memorial Hack
10,Health Track
10,Most Aesthetic Hack
10,Best Beginner Hack
10,JPMorgan Chase Best Hack for Social Good
11,Garverick Memorial Hack
11,Maker Track
12,Fintech Track
12,Garverick Memorial Hack
13,Health Track
14,Maker Track
15,Best Game Hack
15,Fintech Track
15,Garverick Memorial Hack
15,Maker Track
15,Most Aesthetic Hack
15,JPMorgan Chase Best Hack for Social Good
16,Rockwell Diversity in Engineering/IOT Technologies
16,Best Hardware Hack
16,Maker Track
16,Most Aesthetic Hack
17,Fintech Track
17,Rockwell Diversity in Engineering/IOT Technologies
17,MLH: Best Domain Registered with Domain.com
17,Best Hardware Hack
17,Maker Track
17,Civic Track
18,Fintech Track
18,Garverick Memorial Hack
18,Rockwell Diversity in Engineering/IOT Technologies
18,Best Hardware Hack
18,Maker Track
18,Civic Track
18,Most Aesthetic Hack
19,Fintech Track
19,MLH: Best Domain Registered with Domain.com
20,Garverick Memorial Hack
20,Best Hardware Hack
20,Maker Track
20,Most Aesthetic Hack
21,Maker Track
21,Most Aesthetic Hack
22,Garverick Memorial Hack
22,Rockwell Diversity in Engineering/IOT Technologies
22,Maker Track
22,Most Aesthetic Hack
22,Best Beginner Hack
23,Best Game Hack
23,Most Aesthetic Hack
24,Garverick Memorial Hack
24,Rockwell Diversity in Engineering/IOT Technologies
24,Maker Track
24,Civic Track
24,Most Aesthetic Hack
24,Best Beginner Hack
24,JPMorgan Chase Best Hack for Social Good
25,Fintech Track
25,Civic Track
25,Best Beginner Hack
25,JPMorgan Chase Best Hack for Social Good
26,Garverick Memorial Hack
26,Rockwell Diversity in Engineering/IOT Technologies
26,MLH: Best Domain Registered with Domain.com
26,Best Hardware Hack
26,Maker Track
26,Most Aesthetic Hack
27,Fintech Track
27,Civic Track
27,JPMorgan Chase Best Hack for Social Good
28,Health Track
29,Garverick Memorial Hack
29,Rockwell Diversity in Engineering/IOT Technologies
29,MLH: Best Domain Registered with Domain.com
29,Best Hardware Hack
29,Maker Track
29,Health Track
29,Civic Track
29,Most Aesthetic Hack
29,Best Beginner Hack
29,JPMorgan Chase Best Hack for Social Good
30,Health Track
31,Best Hardware Hack
31,Maker Track
31,Most Aesthetic Hack
32,Health Track
32,Civic Track
32,Most Aesthetic Hack
32,Best Beginner Hack
32,JPMorgan Chase Best Hack for Social Good
